Time | N/A | N/A | N/A | N/A | N/A | N/A | _Vind,_kias | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | elev,stick | ailrn,stick | ruddr,stick | N/A | N/A | N/A | N/A | N/A | N/A | ___Q,rad/s | ___P,rad/s | ___R,rad/s | N/A | N/A | N/A | N/A | N/A | N/A | pitch,__deg | _roll,__deg | N/A | hding,__mag | N/A | N/A | N/A | N/A | N/A | N/A | _beta,__deg | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | __alt,ftmsl | N/A | N/A | N/A | N/A | N/A | N/A | thro1,_part | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | trq_1,ftlb | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | rpm_1,_prop | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | ptch1,__deg | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N1__1,_pcnt | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N2__1,_pcnt | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | ITT_1,__deg | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | v-spd,__fpm | N/A | N/A | N/A | N/A | N/A | N/A |
630.388 | 0.000 | -999.000 | 20.555 | 12.555 | 197.311 | 0.000 | 102.206 | 107.486 | 121.604 | 121.599 | -999.000 | 117.616 | 139.939 | 139.939 | 0.000 | 0.000 | 0.000 | 0.000 | -999.000 | -999.000 | -999.000 | -999.000 | -999.000 | 0.000 | 0.125 | -0.011 | -0.039 | -999.000 | -999.000 | -999.000 | -999.000 | -999.000 | 0.000 | 6.487 | 0.369 | 301.658 | 286.310 | -999.000 | -999.000 | -999.000 | -999.000 | 0.000 | 6.964 | -1.465 | 303.078 | -0.486 | -999.000 | -999.000 | -999.000 | 1.601 | 0.000 | 47.460 | -122.343 | 8,197.889 | 7,892.566 | 1.000 | 8,271.807 | 47.500 | -122.000 | 0.000 | 1.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 3,724.802 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 405.374 | 2,486.955 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | -4.000 | 1.443 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 89.872 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 0.000 | 98.210 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 0.000 | 593.272 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 121.599 | -104.496 | -999.000 | -12,706.620 | -999.000 | -999.000 | -999.000 | -999.000 | 
630.539 | 0.000 | -999.000 | 20.555 | 12.555 | 197.311 | 0.000 | 103.139 | 107.238 | 121.322 | 121.267 | -999.000 | 118.690 | 139.614 | 139.614 | 0.000 | 0.000 | 0.000 | 0.000 | -999.000 | -999.000 | -999.000 | -999.000 | -999.000 | 0.000 | -0.009 | -0.037 | -0.009 | -999.000 | -999.000 | -999.000 | -999.000 | -999.000 | 0.000 | 6.939 | 0.111 | 301.464 | 286.116 | -999.000 | -999.000 | -999.000 | -999.000 | 0.000 | 8.663 | -1.642 | 303.090 | -1.726 | -999.000 | -999.000 | -999.000 | 1.821 | 0.000 | 47.460 | -122.343 | 8,197.241 | 7,889.399 | 1.000 | 8,258.227 | 47.500 | -122.000 | 0.000 | 1.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 3,950.124 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 405.980 | 2,490.675 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | -4.000 | 1.476 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 90.588 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 0.000 | 98.237 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 0.000 | 596.534 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 121.267 | -369.999 | -999.000 | -44,868.540 | -999.000 | -999.000 | -999.000 | -999.000 | 
630.690 | 0.000 | -999.000 | 20.555 | 12.555 | 197.312 | 0.000 | 103.851 | 107.040 | 121.095 | 120.962 | -999.000 | 119.509 | 139.354 | 139.354 | 0.000 | 0.000 | 0.000 | 0.000 | -999.000 | -999.000 | -999.000 | -999.000 | -999.000 | 0.000 | -0.114 | -0.031 | 0.015 | -999.000 | -999.000 | -999.000 | -999.000 | -999.000 | 0.000 | 6.309 | -0.198 | 301.508 | 286.160 | -999.000 | -999.000 | -999.000 | -999.000 | 0.000 | 9.000 | -1.562 | 303.103 | -2.685 | -999.000 | -999.000 | -999.000 | 1.774 | 0.000 | 47.460 | -122.343 | 8,196.017 | 7,885.633 | 1.000 | 8,246.610 | 47.500 | -122.000 | 0.000 | 1.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 4,020.389 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 407.075 | 2,497.389 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | -4.000 | 1.644 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 90.838 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 0.000 | 98.467 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 0.000 | 598.823 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 120.962 | -574.480 | -999.000 | -69,490.480 | -999.000 | -999.000 | -999.000 | -999.000 | 
630.841 | 0.000 | -999.000 | 20.555 | 12.555 | 197.312 | 0.000 | 104.372 | 106.849 | 120.877 | 120.652 | -999.000 | 120.109 | 139.103 | 139.103 | 0.000 | 0.000 | 0.000 | 0.000 | -999.000 | -999.000 | -999.000 | -999.000 | -999.000 | 0.000 | -0.141 | -0.008 | 0.027 | -999.000 | -999.000 | -999.000 | -999.000 | -999.000 | 0.000 | 5.138 | -0.336 | 301.711 | 286.363 | -999.000 | -999.000 | -999.000 | -999.000 | 0.000 | 8.641 | -1.357 | 303.121 | -3.495 | -999.000 | -999.000 | -999.000 | 1.768 | 0.000 | 47.460 | -122.343 | 8,194.332 | 7,881.410 | 1.000 | 8,236.783 | 47.500 | -122.000 | 0.000 | 1.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 3,933.896 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 407.999 | 2,503.059 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | -4.000 | 1.800 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 90.609 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 0.000 | 98.716 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 0.000 | 599.708 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 120.652 | -746.139 | -999.000 | -90,023.150 | -999.000 | -999.000 | -999.000 | -999.000 | 
630.991 | 0.000 | -999.000 | 20.555 | 12.555 | 197.312 | 0.000 | 104.748 | 106.672 | 120.672 | 120.332 | -999.000 | 120.542 | 138.867 | 138.867 | 0.000 | 0.000 | 0.000 | 0.000 | -999.000 | -999.000 | -999.000 | -999.000 | -999.000 | 0.000 | -0.117 | 0.009 | 0.025 | -999.000 | -999.000 | -999.000 | -999.000 | -999.000 | 0.000 | 4.014 | -0.291 | 301.947 | 286.599 | -999.000 | -999.000 | -999.000 | -999.000 | 0.000 | 8.326 | -1.157 | 303.149 | -4.305 | -999.000 | -999.000 | -999.000 | 1.832 | 0.000 | 47.460 | -122.343 | 8,192.220 | 7,876.830 | 1.000 | 8,228.490 | 47.500 | -122.000 | 0.000 | 1.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 3,780.016 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 408.323 | 2,505.050 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | -4.000 | 1.883 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 90.145 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 0.000 | 98.845 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 0.000 | 599.619 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 120.332 | -917.381 | -999.000 | -110,390.100 | -999.000 | -999.000 | -999.000 | -999.000 | 
631.092 | 0.000 | -999.000 | 20.555 | 12.555 | 197.312 | 0.000 | 104.935 | 106.572 | 120.556 | 120.121 | -999.000 | 120.757 | 138.734 | 138.734 | 0.000 | 0.000 | 0.000 | 0.000 | -999.000 | -999.000 | -999.000 | -999.000 | -999.000 | 0.000 | -0.096 | 0.012 | 0.019 | -999.000 | -999.000 | -999.000 | -999.000 | -999.000 | 0.000 | 3.413 | -0.216 | 302.073 | 286.725 | -999.000 | -999.000 | -999.000 | -999.000 | 0.000 | 8.289 | -1.063 | 303.171 | -4.871 | -999.000 | -999.000 | -999.000 | 1.912 | 0.000 | 47.460 | -122.343 | 8,190.567 | 7,873.467 | 1.000 | 8,223.679 | 47.500 | -122.000 | 0.000 | 1.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 3,690.841 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 408.228 | 2,504.466 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | -4.000 | 1.896 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 89.859 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 0.000 | 98.850 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 0.000 | 599.417 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 120.121 | -1,036.735 | -999.000 | -124,533.600 | -999.000 | -999.000 | -999.000 | -999.000 | 
631.243 | 0.000 | -999.000 | 20.555 | 12.555 | 197.312 | 0.000 | 105.139 | 106.459 | 120.423 | 119.819 | -999.000 | 120.992 | 138.581 | 138.581 | 0.000 | 0.000 | 0.000 | 0.000 | -999.000 | -999.000 | -999.000 | -999.000 | -999.000 | 0.000 | -0.074 | 0.008 | 0.006 | -999.000 | -999.000 | -999.000 | -999.000 | -999.000 | 0.000 | 2.707 | -0.117 | 302.177 | 286.829 | -999.000 | -999.000 | -999.000 | -999.000 | 0.000 | 8.455 | -1.009 | 303.208 | -5.745 | -999.000 | -999.000 | -999.000 | 2.063 | 0.000 | 47.460 | -122.343 | 8,187.706 | 7,868.243 | 1.000 | 8,217.338 | 47.500 | -122.000 | 0.000 | 1.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 3,616.227 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 407.902 | 2,502.464 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | -4.000 | 1.867 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 89.604 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 0.000 | 98.785 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 0.000 | 599.377 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 119.819 | -1,220.690 | -999.000 | -146,261.400 | -999.000 | -999.000 | -999.000 | -999.000 | 
631.393 | 0.000 | -999.000 | 20.555 | 12.555 | 197.312 | 0.000 | 105.267 | 106.390 | 120.339 | 119.539 | -999.000 | 121.139 | 138.484 | 138.484 | 0.000 | 0.000 | 0.000 | 0.000 | -999.000 | -999.000 | -999.000 | -999.000 | -999.000 | 0.000 | -0.070 | 0.002 | -0.005 | -999.000 | -999.000 | -999.000 | -999.000 | -999.000 | 0.000 | 2.098 | -0.075 | 302.175 | 286.827 | -999.000 | -999.000 | -999.000 | -999.000 | 0.000 | 8.713 | -1.050 | 303.244 | -6.612 | -999.000 | -999.000 | -999.000 | 2.192 | 0.000 | 47.460 | -122.343 | 8,184.383 | 7,863.053 | 1.000 | 8,211.823 | 47.500 | -122.000 | 0.000 | 1.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 3,606.618 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 407.648 | 2,500.910 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | -4.000 | 1.801 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 89.560 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 0.000 | 98.714 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 0.000 | 599.808 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 119.539 | -1,403.240 | -999.000 | -167,741.800 | -999.000 | -999.000 | -999.000 | -999.000 | 
631.544 | 0.000 | -999.000 | 20.555 | 12.555 | 197.312 | 0.000 | 105.335 | 106.360 | 120.298 | 119.283 | -999.000 | 121.217 | 138.436 | 138.436 | 0.000 | 0.000 | 0.000 | 0.000 | -999.000 | -999.000 | -999.000 | -999.000 | -999.000 | 0.000 | -0.076 | -0.002 | -0.009 | -999.000 | -999.000 | -999.000 | -999.000 | -999.000 | 0.000 | 1.467 | -0.080 | 302.111 | 286.763 | -999.000 | -999.000 | -999.000 | -999.000 | 0.000 | 8.918 | -1.140 | 303.274 | -7.448 | -999.000 | -999.000 | -999.000 | 2.257 | 0.000 | 47.460 | -122.343 | 8,180.610 | 7,857.367 | 1.000 | 8,206.906 | 47.500 | -122.000 | 0.000 | 1.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 3,627.107 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 407.588 | 2,500.542 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | -4.000 | 1.738 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 89.621 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 0.000 | 98.683 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 0.000 | 600.531 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 119.283 | -1,579.130 | -999.000 | -188,363.300 | -999.000 | -999.000 | -999.000 | -999.000 | 
631.695 | 0.000 | -999.000 | 20.555 | 12.555 | 197.312 | 0.000 | 105.360 | 106.362 | 120.292 | 119.048 | -999.000 | 121.246 | 138.430 | 138.430 | 0.000 | 0.000 | 0.000 | 0.000 | -999.000 | -999.000 | -999.000 | -999.000 | -999.000 | 0.000 | -0.083 | -0.003 | -0.008 | -999.000 | -999.000 | -999.000 | -999.000 | -999.000 | 0.000 | 0.774 | -0.104 | 302.036 | 286.688 | -999.000 | -999.000 | -999.000 | -999.000 | 0.000 | 9.028 | -1.233 | 303.299 | -8.249 | -999.000 | -999.000 | -999.000 | 2.264 | 0.000 | 47.460 | -122.344 | 8,176.406 | 7,851.287 | 1.000 | 8,202.393 | 47.500 | -122.000 | 0.000 | 1.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 3,645.078 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 407.678 | 2,501.094 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | -4.000 | 1.702 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 89.680 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 0.000 | 98.694 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 0.000 | 601.270 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 119.048 | -1,747.792 | -999.000 | -208,070.800 | -999.000 | -999.000 | -999.000 | -999.000 | 
631.846 | 0.000 | -999.000 | 20.556 | 12.556 | 197.312 | 0.000 | 105.357 | 106.394 | 120.320 | 118.830 | -999.000 | 121.243 | 138.461 | 138.461 | 0.000 | 0.000 | 0.000 | 0.000 | -999.000 | -999.000 | -999.000 | -999.000 | -999.000 | 0.000 | -0.085 | -0.002 | -0.006 | -999.000 | -999.000 | -999.000 | -999.000 | -999.000 | 0.000 | 0.046 | -0.127 | 301.974 | 286.625 | -999.000 | -999.000 | -999.000 | -999.000 | 0.000 | 9.077 | -1.310 | 303.320 | -9.026 | -999.000 | -999.000 | -999.000 | 2.240 | 0.000 | 47.460 | -122.344 | 8,171.786 | 7,844.857 | 1.000 | 8,198.117 | 47.500 | -122.000 | 0.000 | 1.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 3,645.495 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 407.821 | 2,501.969 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | -4.000 | 1.688 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 89.685 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 0.000 | 98.726 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 0.000 | 601.853 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 118.830 | -1,911.561 | -999.000 | -227,150.200 | -999.000 | -999.000 | -999.000 | -999.000 | 
631.996 | 0.000 | -999.000 | 20.556 | 12.556 | 197.312 | 0.000 | 105.341 | 106.455 | 120.380 | 118.627 | -999.000 | 121.224 | 138.531 | 138.531 | 0.000 | 0.000 | 0.000 | 0.000 | -999.000 | -999.000 | -999.000 | -999.000 | -999.000 | 0.000 | -0.083 | -0.002 | -0.003 | -999.000 | -999.000 | -999.000 | -999.000 | -999.000 | 0.000 | -0.681 | -0.146 | 301.938 | 286.590 | -999.000 | -999.000 | -999.000 | -999.000 | 0.000 | 9.114 | -1.356 | 303.338 | -9.789 | -999.000 | -999.000 | -999.000 | 2.196 | 0.000 | 47.460 | -122.344 | 8,166.757 | 7,837.973 | 1.000 | 8,193.945 | 47.500 | -122.000 | 0.000 | 1.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 3,629.879 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 407.941 | 2,502.707 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | -4.000 | 1.691 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 89.637 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 0.000 | 98.758 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 0.000 | 602.247 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 118.627 | -2,072.744 | -999.000 | -245,883.600 | -999.000 | -999.000 | -999.000 | -999.000 | 
632.097 | 0.000 | -999.000 | 20.556 | 12.556 | 197.312 | 0.000 | 105.328 | 106.513 | 120.439 | 118.501 | -999.000 | 121.209 | 138.599 | 138.599 | 0.000 | 0.000 | 0.000 | 0.000 | -999.000 | -999.000 | -999.000 | -999.000 | -999.000 | 0.000 | -0.081 | -0.002 | -0.001 | -999.000 | -999.000 | -999.000 | -999.000 | -999.000 | 0.000 | -1.155 | -0.158 | 301.931 | 286.582 | -999.000 | -999.000 | -999.000 | -999.000 | 0.000 | 9.145 | -1.371 | 303.349 | -10.293 | -999.000 | -999.000 | -999.000 | 2.163 | 0.000 | 47.460 | -122.344 | 8,163.181 | 7,833.088 | 1.000 | 8,191.167 | 47.500 | -122.000 | 0.000 | 1.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 3,614.981 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 407.995 | 2,503.036 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | -4.000 | 1.699 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 89.589 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 0.000 | 98.774 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 0.000 | 602.430 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 118.501 | -2,179.388 | -999.000 | -258,259.000 | -999.000 | -999.000 | -999.000 | -999.000 | 
632.248 | 0.000 | -999.000 | 20.556 | 12.556 | 197.312 | 0.000 | 105.312 | 106.626 | 120.556 | 118.325 | -999.000 | 121.191 | 138.734 | 138.734 | 0.000 | 0.000 | 0.000 | 0.000 | -999.000 | -999.000 | -999.000 | -999.000 | -999.000 | 0.000 | -0.079 | -0.003 | 0.001 | -999.000 | -999.000 | -999.000 | -999.000 | -999.000 | 0.000 | -1.848 | -0.180 | 301.937 | 286.588 | -999.000 | -999.000 | -999.000 | -999.000 | 0.000 | 9.201 | -1.374 | 303.366 | -11.041 | -999.000 | -999.000 | -999.000 | 2.115 | 0.000 | 47.460 | -122.344 | 8,157.483 | 7,825.653 | 1.000 | 8,186.938 | 47.500 | -122.000 | 0.000 | 1.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 3,592.373 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 408.040 | 2,503.311 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | -4.000 | 1.715 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 89.515 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 0.000 | 98.788 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 0.000 | 602.642 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 118.325 | -2,338.076 | -999.000 | -276,652.800 | -999.000 | -999.000 | -999.000 | -999.000 | 
632.398 | 0.000 | -999.000 | 20.556 | 12.556 | 197.312 | 0.000 | 105.305 | 106.770 | 120.708 | 118.167 | -999.000 | 121.183 | 138.908 | 138.908 | 0.000 | 0.000 | 0.000 | 0.000 | -999.000 | -999.000 | -999.000 | -999.000 | -999.000 | 0.000 | -0.078 | -0.003 | 0.002 | -999.000 | -999.000 | -999.000 | -999.000 | -999.000 | 0.000 | -2.528 | -0.204 | 301.952 | 286.604 | -999.000 | -999.000 | -999.000 | -999.000 | 0.000 | 9.257 | -1.367 | 303.383 | -11.777 | -999.000 | -999.000 | -999.000 | 2.072 | 0.000 | 47.460 | -122.344 | 8,151.390 | 7,817.714 | 1.000 | 8,182.569 | 47.500 | -122.000 | 0.000 | 1.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 3,573.868 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 408.056 | 2,503.411 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | -4.000 | 1.727 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 89.453 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 0.000 | 98.794 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 0.000 | 602.827 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 118.167 | -2,494.890 | -999.000 | -294,813.900 | -999.000 | -999.000 | -999.000 | -999.000 | 
632.549 | 0.000 | -999.000 | 20.556 | 12.556 | 197.312 | 0.000 | 105.313 | 106.944 | 120.892 | 118.027 | -999.000 | 121.192 | 139.121 | 139.121 | 0.000 | 0.000 | 0.000 | 0.000 | -999.000 | -999.000 | -999.000 | -999.000 | -999.000 | 0.000 | -0.078 | -0.003 | 0.001 | -999.000 | -999.000 | -999.000 | -999.000 | -999.000 | 0.000 | -3.203 | -0.230 | 301.966 | 286.617 | -999.000 | -999.000 | -999.000 | -999.000 | 0.000 | 9.307 | -1.362 | 303.399 | -12.500 | -999.000 | -999.000 | -999.000 | 2.032 | 0.000 | 47.460 | -122.344 | 8,144.904 | 7,809.406 | 1.000 | 8,178.004 | 47.500 | -122.000 | 0.000 | 1.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 3,561.097 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 408.054 | 2,503.396 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | -4.000 | 1.731 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 89.408 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 0.000 | 98.795 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 0.000 | 603.015 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 118.027 | -2,649.850 | -999.000 | -312,752.800 | -999.000 | -999.000 | -999.000 | -999.000 | 
